Environment,context_value,reward
CARLCartPoleContinuous,0.002,197.84
CARLCartPoleContinuous,0.0033362,143.84
CARLCartPoleContinuous,0.00556512,100.68
CARLCartPoleContinuous,0.00928318,60.72
CARLCartPoleContinuous,0.01548527,31.48
CARLCartPoleContinuous,0.02583099,21.68
CARLCartPoleContinuous,0.04308869,10.3
CARLCartPoleContinuous,0.07187627,6.86
CARLCartPoleContinuous,0.11989685,4.18
CARLCartPoleContinuous,0.2,2.66
CARLMountainCarContinuous,-10.0,79.80459158790903
CARLMountainCarContinuous,-8.0,70.12157180579868
CARLMountainCarContinuous,-6.0,60.77130871261225
CARLMountainCarContinuous,-4.0,72.75492437006959
CARLMountainCarContinuous,-2.0,77.02090031529005
CARLMountainCarContinuous,0.0,-33.21730495672924
CARLMountainCarContinuous,2.0,71.43430644382906
CARLMountainCarContinuous,4.0,67.40526763083915
CARLMountainCarContinuous,6.0,68.56281744797401
CARLMountainCarContinuous,8.0,75.54014220536304
CARLMountainCarContinuous,10.0,75.29633479680098
CARLPendulum,0.01,-1998.0069587266998
CARLPendulum,0.02154435,-2038.7870572405789
CARLPendulum,0.04641589,-2125.2827784967176
CARLPendulum,0.1,-2147.9849656881356
CARLPendulum,0.21544347,-1864.814952956397
CARLPendulum,0.46415888,-1577.8171611873674
CARLPendulum,1.0,-1335.3829483860525
CARLPendulum,2.15443469,-1030.1148512553846
CARLPendulum,4.64158883,-969.500769884034
CARLPendulum,10.0,-1026.2997606407052
